avg_kl,token_id,gloss_with_replacement,part_of_speech
0.0,4288212,now,adv
0.0,5107416,hit,v
0.0,5140185,do,v
0.15534087054458084,5132000,come,v
0.0,5189345,begin,v
0.0,5091050,windows,n
0.0,4288237,have,v
0.09660587882368638,5156590,carry,v
0.5243054481835889,5132018,over,adv
0.0,5172978,know,v
0.0,5140212,think,v
0.12745048133350625,5107450,head,n
0.9313036309922975,5132027,there,adv
0.2574546670651225,5140236,do,v
0.0,5156625,things,n
0.6795961471815891,5091100,need,v
0.0,5148444,little,adj
0.0,5107486,tub,n
0.0,5181225,need,v
0.0,4288305,school,n
0.0,5140277,kitchen,n
0.0,5173050,stand,n
0.0,5181244,nurse,n
0.0,5107518,very,adv
0.0,5181254,again,adv
0.0,5156680,think,v
0.9856315148743332,5107534,hard,adv
0.47706483018556434,5091152,down,adv
0.0,5156698,mean,v
0.6477434207632287,5132133,second,n
0.0,5181286,thunders,v
0.0,5123946,slippery,adj
0.0,5189485,fish,n
0.639268520308204,5091198,now,adv
0.0,5164927,hat,n
0.3862739705906819,5123970,play,n
0.0,5156738,plate,n
0.4455946160742501,5140356,use,n
0.0,5189511,fish,n
0.27421207143030857,5181320,did,v
0.22168220639529757,5099402,got,v
0.0,5140371,powder,n
0.0,5148564,little,adj
0.40433585532663463,5181341,brush,v
0.49510512897138953,5148579,wants,v
0.0,5132208,street,n
0.0,5091251,tell,v
1.3862943611198906,5124020,want,v
0.0,5107637,bubbles,n
0.693147180559945,5099450,scrub,n
0.0,5148605,do,v
0.0,5156802,plate,n
0.2673653115224933,5115860,say,v
0.31914384125900097,5124052,fall,n
0.4455946160742501,5140440,use,n
1.732867951399863,5115872,there,adv
0.0,5140453,powder,n
0.0,5124078,hit,v
0.0,5165041,hat,n
1.1882523095313349,5091322,truth,n
0.0,5181438,did,v
0.8024475821230183,5099522,think,v
0.0,5132300,street,n
0.0,5124109,again,adv
0.2574546670651226,5156882,wash,v
0.0,5173272,about,adv
1.1566609773671552,5099553,want,v
0.8935360424566424,5140524,mean,v
0.0,5189678,friend,n
0.0,5181488,scared,v
0.0,5107762,rinse,v
0.47706483018556434,5115956,water,n
0.0,5148728,use,v
0.0,5099582,little,adj
0.31914384125900097,5173311,read,v
0.0,5124171,careful,adj
0.0,5156941,think,v
0.0,5107792,off,adv
0.0,5148753,toilet,n
0.0,5099602,bit,n
0.0,5173330,cat,n
0.5982810740906812,5091416,episode,n
0.7066982139383009,5189726,fat,n
0.0,5156964,right,n
0.7066982139383009,5181541,thunder,n
0.2337883030777472,5140596,think,v
0.0,5099638,soap,n
0.32703097028917294,5107832,make,v
0.0,5165177,cone,n
0.0,5124221,get,v
0.0,5173373,hat,n
0.0,5124228,out,adv
0.0,5173383,now,adv
0.0,5197964,see,v
0.0,5140624,cat,n
0.0,5132434,building,n
0.6795961471815891,5091484,back,adj
0.0,5107872,bubbles,n
0.0,5157029,cat,n
0.0,5165223,shape,n
0.2337883030777472,5140653,think,v
1.355634162829939,5140663,baby,n
0.526696461135569,5173433,just,adv
0.49510512897138953,5099720,want,v
0.36325281115872965,5173448,keep,v
0.0,5157076,grater,n
0.08840137954967438,5181653,give,v
0.0,5107930,bubbles,n
0.0,5165282,cone,n
0.0,5099756,little,adj
1.6635532333438685,5165306,cone,n
0.0,5091579,garage,n
0.4951051289713895,5132548,just,adv
0.49510512897139003,5091595,door,n
0.31506690025452055,5099787,bit,n
0.0,5132556,building,n
0.0,5140756,cat,n
0.5266964611355727,5148949,like,v
0.0,5181716,hug,n
0.0,5091609,needs,v
0.0,5107993,slippery,adj
0.0,5157145,apron,n
0.5545177444479561,5148970,do,v
0.0,5108011,baby,n
0.0,5198124,house,n
0.0,5165359,cone,n
0.0,5099826,soap,n
0.0,5165368,part,n
0.40433585532663463,5108038,mean,v
0.32008247832915504,5181766,make,v
1.4165066573842606,5165398,cone,n
0.0,5108056,toddler,n
0.0,5181788,better,adj
0.0,5165419,shape,n
0.40433585532663463,5099885,little,adj
0.46351379680720745,5132665,street,n
0.31506690025452055,5099904,bit,n
0.21994450920289776,5108104,slip,n
0.0,5157257,apron,n
0.0,5099926,soap,n
0.0,5140888,up,adv
0.0,5149087,think,v
0.0,5108129,slippery,adj
0.40433585532663463,5108144,baby,n
0.0,5190065,begins,v
0.0,5198258,vacation,n
0.4141244019629358,5091761,back,adv
0.0,5165492,use,v
0.0,5149115,need,v
0.0,5198267,house,n
0.0,5140929,bed,n
0.0,5190096,letter,n
0.4455946160742501,5149137,flush,v
0.0,5091812,very,adv
0.6238324625039512,5100008,there,adv
0.7066982139383009,5108205,slippery,adj
0.0,5091826,very,adv
0.0,5157364,get,v
0.0,5091838,shortly,adv
1.0397207708399179,5108222,baby,n
0.12968560152411956,5149182,go,v
0.0,5140995,say,v
0.0,5141019,powder,n
0.2574546670651227,5132828,think,v
0.29325457639074604,5190173,know,v
0.6238324625039512,5100063,there,adv
